ParamName True_Value Sim_Value InputType ResponseTime Interp_ResponseTime
Kb 0.002300 0.018544 StepDown 250.000000 250.069464
Kb 0.002300 0.017406 StepDown 255.000000 255.070853
Kb 0.002300 0.005284 StepDown 480.000000 484.134482
Kb 0.002300 0.003289 StepDown 715.000000 715.198666
Kb 0.002300 0.005816 StepDown 450.000000 451.125313
Kb 0.002300 0.011274 StepDown 300.000000 302.083912
Kb 0.002300 0.010936 StepDown 305.000000 307.085301
Kb 0.002300 0.007516 StepDown 380.000000 379.105307
Kb 0.002300 0.000627 StepDown 2260.000000 2260.627952
Kb 0.002300 0.002667 StepDown 865.000000 862.239511
Kb 0.002300 0.005160 StepDown 490.000000 493.136982
Kb 0.002300 0.003402 StepDown 690.000000 694.192831
Kb 0.002300 0.009344 StepDown 330.000000 333.092526
Kb 0.002300 0.004575 StepDown 540.000000 542.150597
Kb 0.002300 0.022393 StepDown 235.000000 238.066129
Kb 0.002300 0.007395 StepDown 385.000000 383.106418
Kb 0.002300 0.013534 StepDown 280.000000 279.077522
Kb 0.002300 0.013384 StepDown 280.000000 280.077799
Kb 0.002300 0.009652 StepDown 325.000000 327.090859
Kb 0.002300 0.020663 StepDown 240.000000 242.067241
Kb 0.002300 0.011025 StepDown 305.000000 306.085024
Kb 0.002300 0.018744 StepDown 250.000000 249.069186
Kb 0.002300 0.005219 StepDown 485.000000 488.135593
Kb 0.002300 0.010451 StepDown 315.000000 313.086969
Kb 0.002300 0.009973 StepDown 325.000000 321.089191
Kb 0.002300 0.014509 StepDown 275.000000 272.075577
Kb 0.002300 0.018493 StepDown 250.000000 250.069464
Kb 0.002300 0.022317 StepDown 235.000000 237.065852
Kb 0.002300 0.014226 StepDown 270.000000 273.075854
Kb 0.002300 0.015491 StepDown 265.000000 265.073632
Kb 0.002300 0.014130 StepDown 270.000000 274.076132
Kb 0.002300 0.022375 StepDown 235.000000 238.066129
Kb 0.002300 0.011610 StepDown 295.000000 298.082801
Kb 0.002300 0.001459 StepDown 1470.000000 1471.408725
Kb 0.002300 0.016872 StepDown 255.000000 257.071409
Kb 0.002300 0.000487 StepDown 2370.000000 2370.658516
Kb 0.002300 0.019990 StepDown 245.000000 244.067797
